"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"Gdap1",11,6,20,3,4,3
"ENSMUSG00000100272",0,0,0,0,0,0
"ENSMUSG00000101589",2,1,7,5,3,9
"ENSMUSG00000102048",0,0,1,2,1,1
"Gm25166",0,0,0,0,0,0
"Hecw2",151,161,228,89,79,109
"Mir7681",0,0,0,0,0,0
"Gm24251",0,0,0,0,0,0
"ENSMUSG00000102868",0,0,0,2,0,0
"Gm25829",0,0,0,0,0,0
"Crispld1",65,66,102,15,23,49
"ENSMUSG00000099895",0,0,0,0,0,0
"ENSMUSG00000100554",0,0,2,0,0,0
"Gm18775",0,0,0,0,0,0
"Gm17969",1,1,2,1,0,0
"ENSMUSG00000102001",0,0,0,0,0,0
"ENSMUSG00000101717",0,0,0,0,0,0
"Ccdc150",29,30,62,28,21,71
"Crisp4",0,0,0,0,0,0
"Defb18",0,0,0,0,0,0
"Gtf3c3",1690,1578,3442,2016,1920,3242
"Gm34066",1,0,0,1,0,0
"Nckap5",42,52,74,106,110,108
"Defb41",0,0,0,0,0,0
"Gm17837",2,2,1,0,0,2
"Gm5252",0,0,0,0,0,0
"ENSMUSG00000104519",3,0,0,1,0,0
"Gm24075",0,0,0,0,0,0
"ENSMUSG00000102723",0,0,0,0,0,0
"ENSMUSG00000101644",0,0,0,0,0,0
"ENSMUSG00000103824",0,0,0,0,0,0
"ENSMUSG00000099433",0,0,0,0,0,0
"Gm5261",0,0,0,0,0,0
"Tfap2d",0,0,0,0,0,1
"ENSMUSG00000100720",3,1,3,2,2,6
"Pgap1",1373,1251,3042,1087,1046,1719
"ENSMUSG00000104136",0,1,11,0,0,6
"ENSMUSG00000101130",0,0,0,0,0,1
"Mgat5",382,338,876,538,539,671
"ENSMUSG00000104039",0,0,0,0,0,0
"ENSMUSG00000104378",1,0,0,4,3,1
"Gm8451",2,2,1,3,4,2
"Gm23370",0,0,0,0,0,0
"ENSMUSG00002075922",0,0,0,0,0,0
"Gm23734",0,0,0,0,0,0
"ENSMUSG00000103390",0,0,0,0,0,0
"Tfap2b",0,2,0,1,2,0
"LOC118567642",0,0,1,0,0,0
